---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|DATE_TIME        |WEEK   |DAY|DATE_     |TIME    |HOUR|EVENT                             |WAITED_SECONDS|WAITED_MINUTES|WAITED_HOURS|ACTIVE_SESSIONS|WAITS  |AVG_MS    |INST_ID|OBJECT_NAMES                                                                                                                                               |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|2019-05-09  22 ->|2019-19|Thu|2019-05-09|22:00:00|22  |CPU                               |         4.440|            74|1.23        |1.23           |       |          |      1|/BIC/B0000208000,42043056,19%;ICOL$,40616304,18%;WRI$_ADV_OBJECTS_PK,36317840,16%;SEG$,25911680,12%;WRI$_ADV_ACTIONS,12368240,6%                           |
|2019-05-09  22 ->|2019-19|Thu|2019-05-09|22:00:00|22  |db file sequential read           |         1.845|            31|.51         |.51            |1813114|1.02      |      1|/BIC/B0000208000,50665213,95%                                                                                                                              |
|2019-05-09  22 ->|2019-19|Thu|2019-05-09|22:00:00|22  |db file scattered read            |           620|            10|.17         |.17            |463595 |1.34      |      1|WRI$_ADV_REC_ACTIONS_PK,19789,50%;WRH$_SEG_STAT_OBJ_PK,19789,50%                                                                                           |
|2019-05-09  22 ->|2019-19|Thu|2019-05-09|22:00:00|22  |OTHER                             |           204|             3|.06         |.06            |       |          |      1|                                                                                                                                                           |
|2019-05-09  21 ->|2019-19|Thu|2019-05-09|21:00:00|21  |direct path read                  |        22.656|           378|6.29        |6.37           |598344 |37.86     |      1|/BIC/FZRTABR90,6868654,15%;/BIC/FZRTABR90,3521180,8%                                                                                                       |
|2019-05-09  21 ->|2019-19|Thu|2019-05-09|21:00:00|21  |CPU                               |         4.600|            77|1.28        |1.29           |       |          |      1|/BIC/FZRTABR90,6868912,13%;/BIC/FZRTABR90,3521440,7%                                                                                                       |
|2019-05-09  21 ->|2019-19|Thu|2019-05-09|21:00:00|21  |log buffer space                  |         3.295|            55|.92         |.93            |6390   |515.68    |      1|                                                                                                                                                           |
|2019-05-09  21 ->|2019-19|Thu|2019-05-09|21:00:00|21  |OTHER                             |         3.079|            51|.86         |.87            |       |          |      1|                                                                                                                                                           |
|2019-05-09  20 ->|2019-19|Thu|2019-05-09|20:00:00|20  |direct path read                  |        44.066|           734|12.24       |12.17          |1044151|42.2      |      1|/BIC/FZRTABR90,5547759,17%;/BIC/FZRTABR90,2844030,9%;/BIC/FZFIGLR07,2076046,6%;/BIC/FZRTABR90,1738086,5%                                                   |
|2019-05-09  20 ->|2019-19|Thu|2019-05-09|20:00:00|20  |OTHER                             |         9.832|           164|2.73        |2.72           |       |          |      1|                                                                                                                                                           |
|2019-05-09  20 ->|2019-19|Thu|2019-05-09|20:00:00|20  |CPU                               |         8.082|           135|2.24        |2.23           |       |          |      1|/BIC/FZRTABR90,5547984,11%;/BIC/FZRTABR90,2844272,6%                                                                                                       |
|2019-05-09  20 ->|2019-19|Thu|2019-05-09|20:00:00|20  |log buffer space                  |         7.624|           127|2.12        |2.11           |13003  |586.33    |      1|                                                                                                                                                           |
|2019-05-09  20 ->|2019-19|Thu|2019-05-09|20:00:00|20  |log file sync                     |         5.398|            90|1.5         |1.49           |36283  |148.77    |      1|I_OBJ1,3263360,65%;SEG$,697136,14%                                                                                                                         |
|2019-05-09  20 ->|2019-19|Thu|2019-05-09|20:00:00|20  |enq: CR - block range reuse ckpt  |         5.356|            89|1.49        |1.48           |72711  |73.66     |      1|                                                                                                                                                           |
|2019-05-09  19 ->|2019-19|Thu|2019-05-09|19:00:00|19  |direct path read                  |        41.881|           698|11.63       |11.56          |993762 |42.14     |      1|/BIC/FZRTABR90,5283580,19%;/BIC/FZRTABR90,2708600,10%;/BIC/FZRTABR02,2087008,8%;/BIC/FZFIGLR07,2076046,7%;/BIC/FZRTABR90,1655320,6%                        |
|2019-05-09  19 ->|2019-19|Thu|2019-05-09|19:00:00|19  |CPU                               |         7.799|           130|2.17        |2.15           |       |          |      1|/BIC/FZRTABR90,5283776,10%                                                                                                                                 |
|2019-05-09  19 ->|2019-19|Thu|2019-05-09|19:00:00|19  |log file sync                     |         6.313|           105|1.75        |1.74           |47550  |132.77    |      1|I_OBJ1,1658544,30%;SEG$,669408,12%;/BIC/B0001847000,403024,7%;/BIC/B0000208000,302064,5%;/BIC/AZFIGLD2000,297520,5%                                        |
